"Reach","Year","Max_Extent","Mean_Extent","Max_Change","Mean_Change","Max_MileDays"
"Isleta",2010,8.6,0.72958904109589,5.6,0,266.3
"Isleta",2011,13.1,1.48876712328767,12,-1.84533040835951e-18,543.4
"Isleta",2012,22.2,4.8,11.1,-6.21275136853406e-18,1756.8
"Isleta",2013,22.6,0.634794520547945,20.5,-1.60907077158066e-19,231.7
"Isleta",2014,3.1,0.124109589041096,1.6,-3.06416815150491e-19,45.3
"Isleta",2015,5.1,0.376438356164384,3.6,-2.26557359953642e-19,137.4
"Isleta",2016,9.7,0.820218579234973,6.7,9.17128395086099e-19,300.2
"Isleta",2017,2.4,0.0613698630136986,1.5,0,22.4
"Isleta",2018,6.3,0.676986301369863,3,-6.11661739793661e-19,247.1
"Isleta",2019,0,0,0,0,0
"Isleta",2020,12,2.82650273224044,4.6,0,1034.5
"Isleta",2021,12.1,1.44,5.4,-5.91777036560401e-19,525.6
"San Acacia",2010,20.6,1.98328767123288,15.5,4.62670184893927e-18,723.9
"San Acacia",2011,27.1,3.27808219178082,18.6,5.07480673692776e-18,1196.5
"San Acacia",2012,31.6,6.97322404371585,26,-3.69741786830746e-18,2552.2
"San Acacia",2013,25.1,2.50191780821918,14.5,0,913.2
"San Acacia",2014,21.6,1.44164383561644,12,8.85734376942078e-19,526.2
"San Acacia",2015,12.2,0.306849315068493,9.5,1.82894510039116e-18,112
"San Acacia",2016,20.1,1.66284153005464,11.1,1.19692501055651e-18,608.6
"San Acacia",2017,21.4,2.05041095890411,5.4,-6.26811679852201e-19,748.4
"San Acacia",2018,36.8,8.21260273972603,19.6,4.44555036326723e-18,2997.6
"San Acacia",2019,17.5,0.772876712328767,6.7,-3.18448061596422e-18,282.1
"San Acacia",2020,38.7,10.5885245901639,12.4,-4.81613813199617e-18,3875.4
"San Acacia",2021,32,3.00904109589041,16.9,-1.72450198655184e-19,1098.3
