Station,Drainage,State,County,Quad,Reach,RM_Start,Locality,UTM_Zone,UTM_Easting,UTM_Northing,Date Collected,Sampling_Period,Effort m^2,NelsonNum,Family,Genus,Species,Species_Codes,SumOfSPEC,Project
RKD10-148,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.8,"Rio Grande, ca. 10 mi downstream of the San Marcial railroad bridge crossing",13S,307846,3716150,9/30/2010,201010,634.6,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,12,Hybognathus Amarus Population Monitoring
RKD10-148,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.8,"Rio Grande, ca. 10 mi downstream of the San Marcial railroad bridge crossing",13S,307846,3716150,9/30/2010,201010,634.6,76,Cyprinidae,Platygobio,gracilis,PLAGRA,3,Hybognathus Amarus Population Monitoring
RKD10-148,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.8,"Rio Grande, ca. 10 mi downstream of the San Marcial railroad bridge crossing",13S,307846,3716150,9/30/2010,201010,634.6,93,Ictaluridae,Ictalurus,punctatus,ICTPUN,5,Hybognathus Amarus Population Monitoring
RKD10-149,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.5,"Rio Grande, ca. 8 miles downstream of the San Marcial railroad bridge crossing",13S,309487,3718178,9/30/2010,201010,597.8,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,111,Hybognathus Amarus Population Monitoring
RKD10-149,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.5,"Rio Grande, ca. 8 miles downstream of the San Marcial railroad bridge crossing",13S,309487,3718178,9/30/2010,201010,597.8,76,Cyprinidae,Cyprinus,carpio,CYPCAR,1,Hybognathus Amarus Population Monitoring
RKD10-149,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.5,"Rio Grande, ca. 8 miles downstream of the San Marcial railroad bridge crossing",13S,309487,3718178,9/30/2010,201010,597.8,76,Cyprinidae,Hybognathus,amarus,HYBAMA,37,Hybognathus Amarus Population Monitoring
RKD10-149,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.5,"Rio Grande, ca. 8 miles downstream of the San Marcial railroad bridge crossing",13S,309487,3718178,9/30/2010,201010,597.8,76,Cyprinidae,Pimephales,promelas,PIMPRO,1,Hybognathus Amarus Population Monitoring
RKD10-149,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.5,"Rio Grande, ca. 8 miles downstream of the San Marcial railroad bridge crossing",13S,309487,3718178,9/30/2010,201010,597.8,76,Cyprinidae,Pimephales,vigilax,PIMVIG,1,Hybognathus Amarus Population Monitoring
RKD10-149,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.5,"Rio Grande, ca. 8 miles downstream of the San Marcial railroad bridge crossing",13S,309487,3718178,9/30/2010,201010,597.8,76,Cyprinidae,Platygobio,gracilis,PLAGRA,12,Hybognathus Amarus Population Monitoring
RKD10-149,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.5,"Rio Grande, ca. 8 miles downstream of the San Marcial railroad bridge crossing",13S,309487,3718178,9/30/2010,201010,597.8,81,Catostomidae,Carpiodes,carpio,CARCAR,1,Hybognathus Amarus Population Monitoring
