"","Reach_MD","Species_Code","step_size","TF_Fratio","P_Value","R2","Diff_Fratio","lambda"
"1","San Acacia","CARCAR","4","TRUE","0.046","0.32","0.132","15"
"2","San Acacia","CARCAR","6","TRUE","0.046","0.32","0.129","15"
"3","San Acacia","CARCAR","10","TRUE","0.046","0.32","0.126","15"
"4","San Acacia","CARCAR","12","TRUE","0.046","0.32","0.128","15"
"5","San Acacia","CARCAR","14","TRUE","0.046","0.32","0.128","15"
"6","San Acacia","CYPCAR","4","FALSE","0.4","0.108","-2.664","15"
"7","San Acacia","CYPCAR","6","FALSE","0.4","0.108","-2.662","15"
"8","San Acacia","CYPCAR","10","FALSE","0.401","0.108","-2.665","15"
"9","San Acacia","CYPCAR","12","FALSE","0.397","0.109","-2.655","15"
"10","San Acacia","CYPCAR","14","FALSE","0.397","0.109","-2.656","15"
"11","San Acacia","CYPLUT","4","FALSE","0.183","0.5","-1.199","7.5"
"12","San Acacia","CYPLUT","6","FALSE","0.184","0.499","-1.205","7.5"
"13","San Acacia","CYPLUT","10","FALSE","0.184","0.498","-1.204","7.5"
"14","San Acacia","CYPLUT","12","FALSE","0.185","0.497","-1.207","7.5"
"15","San Acacia","CYPLUT","14","FALSE","0.184","0.496","-1.206","7.5"
"16","San Acacia","GAMAFF","4","FALSE","0.17","0.385","-1.192","8.5"
"17","San Acacia","GAMAFF","6","FALSE","0.171","0.385","-1.197","8.5"
"18","San Acacia","GAMAFF","10","FALSE","0.172","0.384","-1.202","8.5"
"19","San Acacia","GAMAFF","12","FALSE","0.172","0.384","-1.2","8.5"
"20","San Acacia","GAMAFF","14","FALSE","0.172","0.383","-1.201","8.5"
"21","San Acacia","HYBAMA","4","FALSE","0.25","0.285","-1.628","9"
"22","San Acacia","HYBAMA","6","FALSE","0.255","0.282","-1.649","9"
"23","San Acacia","HYBAMA","10","FALSE","0.259","0.28","-1.661","9"
"24","San Acacia","HYBAMA","12","FALSE","0.259","0.28","-1.662","9"
"25","San Acacia","HYBAMA","14","FALSE","0.26","0.279","-1.665","9"
"26","San Acacia","ICTPUN","4","FALSE","0.85","0.077","-2.83","9"
"27","San Acacia","ICTPUN","6","FALSE","0.849","0.077","-2.829","9"
"28","San Acacia","ICTPUN","10","FALSE","0.848","0.078","-2.827","9"
