"Reach_MD" "Species_Code" "step_size" "TF_Fratio" "P_Value"
"1" "San Acacia" "CARCAR" "6" "FALSE" "0.432099923589307"
"2" "San Acacia" "CARCAR" "8" "FALSE" "0.43209945476787"
"3" "San Acacia" "CARCAR" "10" "FALSE" "0.432076073231711"
"4" "San Acacia" "CARCAR" "12" "FALSE" "0.432127501321943"
"5" "San Acacia" "CARCAR" "14" "FALSE" "0.432217534258289"
"6" "San Acacia" "CYPCAR" "6" "TRUE" "0.00557028707193985"
"7" "San Acacia" "CYPCAR" "8" "TRUE" "0.00558108451926886"
"8" "San Acacia" "CYPCAR" "10" "TRUE" "0.00555521635151357"
"9" "San Acacia" "CYPCAR" "12" "TRUE" "0.00552994633869419"
"10" "San Acacia" "CYPCAR" "14" "TRUE" "0.00553592263808844"
"11" "San Acacia" "CYPLUT" "6" "FALSE" "0.322415211816338"
"12" "San Acacia" "CYPLUT" "8" "FALSE" "0.322404267644589"
"13" "San Acacia" "CYPLUT" "10" "FALSE" "0.322262266636702"
"14" "San Acacia" "CYPLUT" "12" "FALSE" "0.322425609683533"
"15" "San Acacia" "CYPLUT" "14" "FALSE" "0.322425362795228"
"16" "San Acacia" "GAMAFF" "6" "FALSE" "0.0728820569862914"
"17" "San Acacia" "GAMAFF" "8" "FALSE" "0.0729437322521949"
"18" "San Acacia" "GAMAFF" "10" "FALSE" "0.0727349045512122"
"19" "San Acacia" "GAMAFF" "12" "FALSE" "0.0726746667628728"
"20" "San Acacia" "GAMAFF" "14" "FALSE" "0.0727024096557845"
"21" "San Acacia" "ICTPUN" "6" "FALSE" "0.738841766209126"
"22" "San Acacia" "ICTPUN" "8" "FALSE" "0.73909555228829"
"23" "San Acacia" "ICTPUN" "10" "FALSE" "0.73854881001972"
"24" "San Acacia" "ICTPUN" "12" "FALSE" "0.738165375931413"
"25" "San Acacia" "ICTPUN" "14" "FALSE" "0.73808072460705"
"26" "San Acacia" "PIMPRO" "6" "FALSE" "0.0811746774518293"
"27" "San Acacia" "PIMPRO" "8" "FALSE" "0.0811769061674819"
"28" "San Acacia" "PIMPRO" "10" "FALSE" "0.0811758918314452"
"29" "San Acacia" "PIMPRO" "12" "FALSE" "0.0811591056304199"
"30" "San Acacia" "PIMPRO" "14" "FALSE" "0.0811552842378747"
"31" "San Acacia" "PLAGRA" "6" "FALSE" "0.653084899660904"
"32" "San Acacia" "PLAGRA" "8" "FALSE" "0.653301008977785"
"33" "San Acacia" "PLAGRA" "10" "FALSE" "0.652748293017094"
"34" "San Acacia" "PLAGRA" "12" "FALSE" "0.652836049295007"
"35" "San Acacia" "PLAGRA" "14" "FALSE" "0.653192691065202"
"36" "San Acacia" "HYBAMA" "6" "FALSE" "0.423089908148905"
"37" "San Acacia" "HYBAMA" "8" "FALSE" "0.423414767860806"
"38" "San Acacia" "HYBAMA" "10" "FALSE" "0.42276228447787"
"39" "San Acacia" "HYBAMA" "12" "FALSE" "0.42235584835988"
"40" "San Acacia" "HYBAMA" "14" "FALSE" "0.422315371694746"
"41" "Isleta" "CARCAR" "6" "FALSE" "0.0976018516134527"
"42" "Isleta" "CARCAR" "8" "FALSE" "0.0976747895100253"
"43" "Isleta" "CARCAR" "10" "FALSE" "0.097724845742815"
"44" "Isleta" "CARCAR" "12" "FALSE" "0.0978158436895774"
"45" "Isleta" "CARCAR" "14" "FALSE" "0.100749415875838"
"46" "Isleta" "CYPCAR" "6" "FALSE" "0.974917244573565"
"47" "Isleta" "CYPCAR" "8" "FALSE" "0.974921306886784"
"48" "Isleta" "CYPCAR" "10" "FALSE" "0.974864035129822"
"49" "Isleta" "CYPCAR" "12" "FALSE" "0.974881162258221"
"50" "Isleta" "CYPCAR" "14" "FALSE" "0.974924409664746"
"51" "Isleta" "CYPLUT" "6" "TRUE" "0.00801033398222772"
"52" "Isleta" "CYPLUT" "8" "TRUE" "0.00800463213757396"
"53" "Isleta" "CYPLUT" "10" "TRUE" "0.00801763474814732"
"54" "Isleta" "CYPLUT" "12" "TRUE" "0.00798782560523037"
"55" "Isleta" "CYPLUT" "14" "TRUE" "0.00801298137986195"
"56" "Isleta" "GAMAFF" "6" "TRUE" "0.00837216015455533"
"57" "Isleta" "GAMAFF" "8" "TRUE" "0.00837068483650438"
"58" "Isleta" "GAMAFF" "10" "TRUE" "0.00837487676329451"
"59" "Isleta" "GAMAFF" "12" "TRUE" "0.00837838969533466"
"60" "Isleta" "GAMAFF" "14" "TRUE" "0.00832355379026872"
"61" "Isleta" "ICTPUN" "6" "FALSE" "0.153907025687673"
"62" "Isleta" "ICTPUN" "8" "FALSE" "0.153916049612789"
"63" "Isleta" "ICTPUN" "10" "FALSE" "0.15386642757634"
"64" "Isleta" "ICTPUN" "12" "FALSE" "0.153876849179723"
"65" "Isleta" "ICTPUN" "14" "FALSE" "0.153846715301718"
"66" "Isleta" "PIMPRO" "6" "TRUE" "0.0257331590620169"
"67" "Isleta" "PIMPRO" "8" "TRUE" "0.0257256509061987"
"68" "Isleta" "PIMPRO" "10" "TRUE" "0.0257611433828943"
"69" "Isleta" "PIMPRO" "12" "TRUE" "0.0256912663032524"
"70" "Isleta" "PIMPRO" "14" "TRUE" "0.0256679139097334"
"71" "Isleta" "PLAGRA" "6" "FALSE" "0.211148982930839"
"72" "Isleta" "PLAGRA" "8" "FALSE" "0.211157555346887"
"73" "Isleta" "PLAGRA" "10" "FALSE" "0.211155016635136"
"74" "Isleta" "PLAGRA" "12" "FALSE" "0.211104746589779"
"75" "Isleta" "PLAGRA" "14" "FALSE" "0.211202863528074"
"76" "Isleta" "HYBAMA" "6" "FALSE" "0.575039415732045"
"77" "Isleta" "HYBAMA" "8" "FALSE" "0.57509501065628"
"78" "Isleta" "HYBAMA" "10" "FALSE" "0.574904248698671"
"79" "Isleta" "HYBAMA" "12" "FALSE" "0.575093326036884"
"80" "Isleta" "HYBAMA" "14" "FALSE" "0.57500451339034"
